,Route,To,From,Distance
474,F,608,238,0.007009655055709477
475,F,240,608,0.010284195495998277
476,F,241,240,0.005961558521053561
477,F,242,241,0.010278617514052523
478,F,243,242,0.007788882140599769
479,F,244,243,0.008063877479222789
480,F,245,244,0.006476333607843561
481,F,246,245,0.004512629499523155
482,F,247,246,0.00463406711215583
483,F,248,247,0.005729234678381702
484,F,249,248,0.006306428545543215
485,F,250,249,0.005765019514278644
486,F,251,250,0.007223000207669915
487,F,252,251,0.006504590532844795
488,F,253,252,0.008615094718000729
489,F,57,253,0.005071161701222992
490,F,58,57,0.005450088164416609
491,G,282,606,0.006396153922477129
492,G,283,282,0.013562669132581773
493,G,284,283,0.007428302161327001
494,G,629,284,0.011843839326838853
495,G,286,629,0.006791325349300666
496,G,287,286,0.0057154790700292895
497,G,288,287,0.00592923477356666
498,G,289,288,0.006666937602822158
499,G,290,289,0.0065912684667007
500,G,291,290,0.0068142510226788825
501,G,292,291,0.008590936852279839
502,G,175,292,0.00972229916223249
503,G,236,175,0.006310486669025471
504,G,237,236,0.007186901975124605
505,G,238,237,0.006784441760382076
506,G,608,238,0.007009655055709477
507,G,240,608,0.010284195495998277
508,G,241,240,0.005961558521053561
509,G,242,241,0.010278617514052523
510,J,279,278,0.007058223643385009
511,J,80,279,0.02032500088560854
512,J,81,80,0.008617892839894363
513,J,82,81,0.008293239716784409
514,J,83,82,0.007361515944420253
515,J,84,83,0.008556722035928102
516,J,85,84,0.007215051073961503
517,J,86,85,0.005584944941547136
518,J,87,86,0.006859098628824874
519,J,88,87,0.00650347384095475
520,J,89,88,0.00482704557675818
521,J,90,89,0.007306594966187813
522,J,91,90,0.007042029537007222
523,J,621,91,0.006371514733551048
524,J,93,621,0.006845229068496902
525,J,94,93,0.007023968821101309
526,J,95,94,0.006575950197503131
527,J,96,95,0.0075234885525312925
528,J,97,96,0.007859063175712127
529,J,98,97,0.006263447133972094
530,J,99,98,0.007244888197892729
531,J,100,99,0.006729229525004132
532,J,101,100,0.004575084370798816
533,J,625,101,0.03130534037508605
534,J,103,625,0.006769468886107905
535,J,623,103,0.006364893793301122
536,J,622,623,0.005985472579501039
537,J,628,622,0.005070692457643672
538,J,107,628,0.005221405940939157
539,M,262,261,0.009516061580290962
540,M,263,262,0.009486071578905915
541,M,264,263,0.00829266091191787
542,M,265,264,0.008898557017851005
543,M,266,265,0.007250183239062953
544,M,616,266,0.010219449153455795
545,M,268,616,0.007731354991199581
546,M,269,268,0.008209169568234927
547,M,270,269,0.008088835392061035
548,M,271,270,0.007428670002107761
549,M,272,271,0.009385269362133917
550,M,273,272,0.009000322216463732
551,M,606,273,0.008829222955605589
552,M,612,606,0.025014784848178335
553,M,276,612,0.006700357154643258
554,M,225,276,0.006287530596351309
555,M,609,225,0.005497279418034081
556,M,607,609,0.0055556750264919505
557,M,228,607,0.008472265635585757
558,M,601,228,0.005753350675915302
559,M,167,601,0.007284359683601209
560,M,619,167,0.008245505563637085
561,M,625,619,0.011207524838251097
562,M,101,625,0.03130534037508605
563,M,100,101,0.004575084370798816
564,M,99,100,0.006729229525004132
565,M,98,99,0.007244888197892729
566,M,97,98,0.006263447133972094
567,M,114,97,0.008285535589198919
568,M,113,114,0.007728249801870183
569,M,630,113,0.007365937279116629
570,M,111,630,0.005716489219789478
571,M,110,111,0.004949998989905811
572,M,109,110,0.007412703218121706
573,M,108,109,0.008156731943618807
574,N,2,1,0.007521553363512972
575,N,3,2,0.005032289439210766
576,N,4,3,0.00638940701473168
577,N,5,4,0.00645761140051792
578,N,6,5,0.005049206274254334
579,N,461,6,0.007794088080075704
580,N,613,461,0.02962946540185939
581,N,8,613,0.006457764473876108
582,N,9,8,0.007312477692260824
583,N,10,9,0.005899451669442961
584,N,611,10,0.005846423351077958
585,N,607,611,0.005243228108711955
586,N,602,607,0.01407659351548361
587,N,623,602,0.019974440492780382
588,N,617,623,0.04091445452405403
589,N,32,617,0.037756093614138224
590,N,35,32,0.01988340383335478
591,N,71,35,0.008811075303279048
592,N,72,71,0.0073538498760812
593,N,615,72,0.011126002876148839
594,N,74,615,0.007257338492861618
595,N,75,74,0.006297988964738976
596,N,76,75,0.006434571392099856
597,N,77,76,0.008032352644154667
598,N,78,77,0.006563623694267814
599,N,79,78,0.00483778389347184
600,N,58,79,0.015590939997320617
601,Q,476,475,0.00792398599190873
602,Q,477,476,0.011256741668879482
603,Q,223,477,0.008746977820951787
604,Q,9,223,0.014545042110614052
605,Q,611,9,0.011704754589492522
606,Q,607,611,0.005243228108711955
607,Q,602,607,0.01407659351548361
608,Q,623,602,0.019974440492780382
609,Q,26,623,0.033425319744172524
610,Q,617,26,0.00790411165154766
611,Q,41,617,0.008681337972906189
612,Q,42,41,0.0184581888873281
613,Q,43,42,0.0063664499526852715
614,Q,44,43,0.004991632398315712
615,Q,45,44,0.006669191555211477
616,Q,46,45,0.0031616478298448175
617,Q,47,46,0.005947237089607796
618,Q,48,47,0.0059254586320442795
619,Q,49,48,0.004312801525689261
620,Q,50,49,0.007552645695383448
621,Q,51,50,0.009101589366695717
622,Q,52,51,0.009542270432139986
623,Q,53,52,0.004126104700557353
624,Q,54,53,0.008410382631010854
625,Q,55,54,0.011754508326598011
626,Q,56,55,0.007244246406633808
627,Q,57,56,0.007440300329953249
628,Q,58,57,0.005450088164416609
629,R,262,261,0.009516061580290962
630,R,263,262,0.009486071578905915
631,R,264,263,0.00829266091191787
632,R,265,264,0.008898557017851005
633,R,266,265,0.007250183239062953
634,R,616,266,0.010219449153455795
635,R,268,616,0.007731354991199581
636,R,269,268,0.008209169568234927
637,R,270,269,0.008088835392061035
638,R,271,270,0.007428670002107761
639,R,272,271,0.009385269362133917
640,R,273,272,0.009000322216463732
641,R,613,273,0.03298839483817647
642,R,8,613,0.006457764473876108
643,R,9,8,0.007312477692260824
644,R,10,9,0.005899451669442961
645,R,611,10,0.005846423351077958
646,R,607,611,0.005243228108711955
647,R,13,607,0.004139856277697677
648,R,14,13,0.004241566927442083
649,R,602,14,0.005699970613970205
650,R,16,602,0.005787416090099548
651,R,17,16,0.007856419668016168
652,R,623,17,0.0062967081082029
653,R,20,623,0.008128421371957089
654,R,624,20,0.004821161374610791
655,R,22,624,0.004151948096977583
656,R,635,22,0.004147624983051965
657,R,620,635,0.023041858822578917
658,R,636,620,0.006142770140570353
659,R,26,636,0.004398289326550135
660,R,617,26,0.007592835899722569
661,R,28,617,0.007668930825087383
662,R,608,28,0.008294867388941135
663,R,30,608,0.00709946399384077
664,R,31,30,0.007239354252979835
665,R,32,31,0.007575207785919327
666,R,33,32,0.008955159071740037
667,R,34,33,0.005585846757647514
668,R,35,34,0.005342401894283787
669,R,36,35,0.008432202618532872
670,R,37,36,0.005643608242955819
671,R,38,37,0.007623225629614307
672,R,39,38,0.006551695124168033
673,W,2,1,0.007521553363512972
674,W,3,2,0.005032289439210766
675,W,4,3,0.00638940701473168
676,W,5,4,0.00645761140051792
677,W,6,5,0.005049206274254334
678,W,461,6,0.007794088080075704
679,W,613,461,0.02962946540185939
680,W,8,613,0.006457764473876108
681,W,9,8,0.007312477692260824
682,W,10,9,0.005899451669442961
683,W,611,10,0.005846423351077958
684,W,607,611,0.005243228108711955
685,W,13,607,0.004139856277697677
686,W,14,13,0.004241566927442083
687,W,602,14,0.005699970613970205
688,W,16,602,0.005787416090099548
689,W,17,16,0.007856419668016168
690,W,623,17,0.0062967081082029
691,W,20,623,0.008128421371957089
692,W,624,20,0.004821161374610791
693,W,22,624,0.004151948096977583
694,W,635,22,0.004147624983051965
695,Z,279,278,0.007058223643385009
696,Z,80,279,0.02032500088560854
697,Z,82,80,0.016893545868168096
698,Z,83,82,0.007361515944420253
699,Z,85,83,0.01577133456623045
700,Z,87,85,0.010500772162087295
701,Z,88,87,0.00650347384095475
702,Z,90,88,0.012131125133314019
703,Z,621,90,0.0129084333673708
704,Z,93,621,0.006845229068496902
705,Z,95,93,0.013599917830623283
706,Z,97,95,0.0153825452380228
707,Z,101,97,0.024754335054702103
708,Z,625,101,0.03130534037508605
709,Z,103,625,0.006769468886107905
710,Z,623,103,0.006364893793301122
711,Z,622,623,0.005985472579501039
712,Z,628,622,0.005070692457643672
713,Z,107,628,0.005221405940939157
